
Line 1: pub fn demo() -> i32 {
[TOKEN] Type: RBRACKET        | Value: ]               | Line: 11  | Position: 21
[TOKEN] Type: SEMICOLON       | Value: ;               | Line: 11  | Position: 22

Line 12: let sv = &v[0..2];
[TOKEN] Type: LET             | Value: let             | Line: 12  | Position: 4
[TOKEN] Type: IDENTIFIER      | Value: sv              | Line: 12  | Position: 8
[TOKEN] Type: ASIGNED_TO      | Value: =               | Line: 12  | Position: 11
[TOKEN] Type: BIT_AND         | Value: &               | Line: 12  | Position: 13
[TOKEN] Type: IDENTIFIER      | Value: v               | Line: 12  | Position: 14
[TOKEN] Type: LBRACKET        | Value: [               | Line: 12  | Position: 15
[TOKEN] Type: INTEGER         | Value: 0               | Line: 12  | Position: 16
[TOKEN] Type: RANGE           | Value: ..              | Line: 12  | Position: 17
[TOKEN] Type: INTEGER         | Value: 2               | Line: 12  | Position: 19
[TOKEN] Type: RBRACKET        | Value: ]               | Line: 12  | Position: 20
[TOKEN] Type: SEMICOLON       | Value: ;               | Line: 12  | Position: 21

Line 13: return tercero + primero + s1.len() as i32 + s2.len() as i32 + sv.len() as i32;
[TOKEN] Type: RETURN          | Value: return          | Line: 13  | Position: 4
[TOKEN] Type: IDENTIFIER      | Value: tercero         | Line: 13  | Position: 11
[TOKEN] Type: PLUS            | Value: +               | Line: 13  | Position: 19
[TOKEN] Type: IDENTIFIER      | Value: primero         | Line: 13  | Position: 21
[TOKEN] Type: PLUS            | Value: +               | Line: 13  | Position: 29
[TOKEN] Type: IDENTIFIER      | Value: s1              | Line: 13  | Position: 31
[TOKEN] Type: DOT             | Value: .               | Line: 13  | Position: 33
[TOKEN] Type: IDENTIFIER      | Value: len             | Line: 13  | Position: 34
[TOKEN] Type: LPAREN          | Value: (               | Line: 13  | Position: 37
[TOKEN] Type: RPAREN          | Value: )               | Line: 13  | Position: 38
[TOKEN] Type: AS              | Value: as              | Line: 13  | Position: 40
[TOKEN] Type: TYPE_I32        | Value: i32             | Line: 13  | Position: 43
[TOKEN] Type: PLUS            | Value: +               | Line: 13  | Position: 47
[TOKEN] Type: IDENTIFIER      | Value: s2              | Line: 13  | Position: 49
[TOKEN] Type: DOT             | Value: .               | Line: 13  | Position: 51
[TOKEN] Type: IDENTIFIER      | Value: len             | Line: 13  | Position: 52
[TOKEN] Type: LPAREN          | Value: (               | Line: 13  | Position: 55
[TOKEN] Type: RPAREN          | Value: )               | Line: 13  | Position: 56
[TOKEN] Type: AS              | Value: as              | Line: 13  | Position: 58
[TOKEN] Type: TYPE_I32        | Value: i32             | Line: 13  | Position: 61
[TOKEN] Type: PLUS            | Value: +               | Line: 13  | Position: 65
[TOKEN] Type: IDENTIFIER      | Value: sv              | Line: 13  | Position: 67
[TOKEN] Type: DOT             | Value: .               | Line: 13  | Position: 69
[TOKEN] Type: IDENTIFIER      | Value: len             | Line: 13  | Position: 70
[TOKEN] Type: LPAREN          | Value: (               | Line: 13  | Position: 73
[TOKEN] Type: RPAREN          | Value: )               | Line: 13  | Position: 74
[TOKEN] Type: AS              | Value: as              | Line: 13  | Position: 76
[TOKEN] Type: TYPE_I32        | Value: i32             | Line: 13  | Position: 79
[TOKEN] Type: SEMICOLON       | Value: ;               | Line: 13  | Position: 82

Line 14: }
[TOKEN] Type: RBRACE          | Value: }               | Line: 14  | Position: 0
